iter	Passed	Remaining
0	210	209864
1	257	128245
2	300	100004
3	340	84809
4	375	74670
5	409	67904
6	445	63249
7	478	59302
8	511	56271
9	543	53828
10	578	52015
11	611	50372
12	651	49493
13	688	48477
14	725	47657
15	761	46816
16	794	45932
17	831	45346
18	865	44689
19	899	44076
20	933	43499
21	966	42953
22	1004	42656
23	1042	42410
24	1078	42047
25	1117	41864
26	1151	41484
27	1185	41153
28	1220	40880
29	1258	40701
30	1291	40374
31	1323	40029
32	1355	39728
33	1388	39436
34	1421	39198
35	1455	38985
36	1488	38739
37	1521	38513
38	1553	38283
39	1586	38085
40	1622	37944
41	1658	37820
42	1691	37654
43	1724	37468
44	1756	37280
45	1790	37126
46	1822	36946
47	1854	36777
48	1887	36641
49	1920	36481
50	1952	36324
51	1986	36206
52	2019	36078
53	2054	35986
54	2087	35868
55	2123	35799
56	2156	35684
57	2194	35643
58	2230	35580
59	2263	35468
60	2296	35345
61	2329	35239
62	2360	35112
63	2393	35010
64	2428	34927
65	2461	34838
66	2494	34733
67	2527	34643
68	2560	34543
69	2592	34447
70	2625	34359
71	2658	34266
72	2691	34177
73	2725	34110
74	2758	34022
75	2791	33940
76	2823	33842
77	2864	33861
78	2896	33767
79	2927	33665
80	2960	33588
81	2994	33521
82	3026	33438
83	3057	33345
84	3089	33256
85	3121	33170
86	3154	33104
87	3186	33027
88	3232	33082
89	3270	33066
90	3302	32989
91	3334	32907
92	3367	32844
93	3401	32788
94	3432	32697
95	3464	32621
96	3497	32558
97	3530	32492
98	3561	32413
99	3593	32337
100	3625	32274
101	3657	32197
102	3689	32133
103	3724	32088
104	3757	32027
105	3789	31963
106	3822	31904
107	3855	31842
108	3888	31781
109	3921	31730
110	3955	31681
111	3987	31615
112	4019	31553
113	4050	31484
114	4084	31433
115	4117	31374
116	4151	31334
117	4185	31286
118	4219	31236
119	4251	31175
120	4282	31108
121	4318	31077
122	4350	31020
123	4381	30955
124	4413	30893
125	4445	30834
126	4477	30775
127	4509	30721
128	4555	30761
129	4608	30842
130	4657	30893
131	4704	30936
132	4756	31007
133	4805	31054
134	4845	31048
135	4885	31035
136	4920	30996
137	4965	31014
138	5000	30974
139	5039	30955
140	5078	30942
141	5109	30873
142	5140	30809
143	5170	30736
144	5207	30708
145	5240	30650
146	5270	30584
147	5300	30511
148	5329	30437
149	5360	30375
150	5393	30323
151	5422	30254
152	5453	30189
153	5482	30120
154	5514	30062
155	5544	29998
156	5574	29932
157	5605	29874
158	5636	29812
159	5666	29747
160	5696	29685
161	5726	29623
162	5757	29562
163	5790	29519
164	5821	29458
165	5851	29400
166	5886	29363
167	5916	29302
168	5947	29246
169	5981	29205
170	6013	29150
171	6045	29103
172	6077	29050
173	6108	28997
174	6138	28938
175	6171	28894
176	6205	28852
177	6237	28805
178	6269	28753
179	6299	28695
180	6328	28637
181	6358	28580
182	6390	28531
183	6423	28486
184	6453	28430
185	6503	28459
186	6551	28481
187	6595	28485
188	6629	28448
189	6662	28402
190	6694	28355
191	6725	28302
192	6756	28250
193	6786	28193
194	6815	28136
195	6845	28080
196	6875	28023
197	6904	27966
198	6934	27913
199	6965	27860
200	6997	27815
201	7029	27768
202	7059	27717
203	7089	27662
204	7119	27611
205	7151	27565
206	7182	27516
207	7218	27486
208	7248	27433
209	7279	27386
210	7309	27332
211	7340	27286
212	7371	27236
213	7405	27200
214	7435	27149
215	7466	27102
216	7496	27051
217	7526	26999
218	7556	26947
219	7587	26900
220	7616	26848
221	7646	26796
222	7676	26747
223	7707	26699
224	7736	26648
225	7767	26600
226	7802	26568
227	7831	26518
228	7863	26473
229	7892	26423
230	7923	26378
231	7953	26327
232	7982	26276
233	8012	26228
234	8042	26180
235	8072	26131
236	8101	26081
237	8132	26037
238	8162	25989
239	8198	25960
240	8238	25944
241	8271	25908
242	8306	25876
243	8341	25844
244	8376	25814
245	8411	25781
246	8443	25739
247	8476	25702
248	8507	25658
249	8539	25618
250	8575	25588
251	8608	25553
252	8639	25509
253	8672	25470
254	8704	25430
255	8735	25387
256	8766	25345
257	8799	25305
258	8831	25267
259	8863	25226
260	8896	25189
261	8932	25160
262	8963	25119
263	8997	25083
264	9032	25051
265	9065	25014
266	9096	24972
267	9129	24935
268	9163	24900
269	9203	24883
270	9242	24862
271	9279	24837
272	9312	24799
273	9344	24759
274	9375	24718
275	9413	24692
276	9445	24654
277	9476	24611
278	9509	24574
279	9539	24530
280	9571	24491
281	9602	24448
282	9632	24405
283	9662	24359
284	9692	24317
285	9724	24278
286	9754	24233
287	9784	24189
288	9818	24154
289	9849	24115
290	9880	24072
291	9909	24028
292	9940	23985
293	9971	23945
294	10001	23901
295	10031	23859
296	10061	23816
297	10091	23773
298	10123	23734
299	10154	23693
300	10186	23656
301	10221	23625
302	10251	23582
303	10283	23542
304	10313	23501
305	10342	23457
306	10372	23413
307	10402	23371
308	10432	23328
309	10463	23288
310	10493	23247
311	10522	23203
312	10552	23161
313	10583	23121
314	10614	23082
315	10644	23041
316	10675	23001
317	10708	22966
318	10770	22992
319	10811	22974
320	10846	22944
321	10878	22906
322	10911	22871
323	10945	22836
324	10977	22799
325	11013	22769
326	11046	22734
327	11083	22706
328	11119	22679
329	11156	22651
330	11194	22625
331	11226	22587
332	11258	22550
333	11291	22514
334	11323	22477
335	11355	22440
336	11385	22398
